fold,train_start,train_end,validation_start,validation_end,naive_mae,naive_rmse,linear_mae,linear_rmse
175,2010-03-26,2025-04-04,2025-04-07,2025-04-15,83.42857142857143,98.01457617547067,113.16489333192388,130.2037130765638
176,2010-03-26,2025-04-15,2025-04-16,2025-04-28,99.14285714285714,111.99107107265293,115.05938691270535,134.96941495850047
177,2010-03-26,2025-04-28,2025-04-29,2025-05-08,87.42857142857143,99.11032813414121,154.53842234149403,180.4291135698121
178,2010-03-26,2025-05-08,2025-05-09,2025-05-19,44.0,52.320441238855885,79.09132388470584,111.27441732227885
179,2010-03-26,2025-05-19,2025-05-20,2025-05-29,199.85714285714286,231.60156673538657,175.88648808513918,225.69207891349816
180,2010-03-26,2025-05-29,2025-05-30,2025-06-09,340.2857142857143,354.49521455565116,225.38083448190878,260.291131018604
181,2010-03-26,2025-06-09,2025-06-10,2025-06-18,242.71428571428572,273.2400828157224,327.36634620564354,362.42280748286703
182,2010-03-26,2025-06-18,2025-06-19,2025-06-27,201.0,210.64696261076935,137.01306353929064,145.68966431769937
183,2010-03-26,2025-06-27,2025-06-30,2025-07-08,305.85714285714283,366.2955481184949,360.85656560584033,423.64504874827526
184,2010-03-26,2025-07-08,2025-07-09,2025-07-17,404.0,425.3529626758733,283.6113951628043,347.5710195569443
185,2010-03-26,2025-07-17,2025-07-18,2025-07-28,152.57142857142858,194.48907424325924,204.18886469042477,257.8998588597555
186,2010-03-26,2025-07-28,2025-07-29,2025-08-06,59.42857142857143,69.70550295964547,127.58188961541067,158.96775805768286
187,2010-03-26,2025-08-06,2025-08-07,2025-08-15,60.142857142857146,77.48824795689067,73.81886872376079,82.82336878748943
188,2010-03-26,2025-08-15,2025-08-18,2025-08-27,57.857142857142854,68.02625543546718,135.33824225676685,146.52739233895875
189,2010-03-26,2025-08-27,2025-08-28,2025-09-05,117.14285714285714,135.01851724856112,77.10192316443717,93.90654392728516
190,2010-03-26,2025-09-05,2025-09-08,2025-09-16,101.71428571428571,106.49480201936082,29.488672412023984,36.792736556788
191,2010-03-26,2025-09-16,2025-09-17,2025-09-25,188.42857142857142,226.54201754704516,214.41771402801209,269.12138434472064
